CustomerID,Recency,Frequency,Monetary,Recency_log,Frequency_log,Monetary_log,Cluster,R_score,F_score,M_score,RFM_Score
12346.0,326.0,1.0,11.25395523424843,5.786897381366708,0.0,2.4207196432395746,2,1,1,1,111
12347.0,2.0,6.999999999999999,549.6244245854816,0.6931471805599453,1.9459101490553132,6.3092351805784,0,5,5,5,555
12348.0,74.99999999999997,4.0,101.7345409274112,4.31748811353631,1.3862943611198906,4.622366880862547,1,2,4,3,243
12349.0,18.999999999999996,1.0,212.35837921063026,2.9444389791664403,0.0,5.358275315413931,1,4,1,4,414
12350.0,310.00000000000006,1.0,46.82972217955998,5.736572297479192,0.0,3.846518090646569,2,1,1,2,112
12352.0,36.0,6.999999999999999,224.59279841830585,3.58351893845611,1.9459101490553132,5.4142889777578045,1,3,5,4,354
12353.0,203.99999999999994,1.0,12.210651578198856,5.318119993844216,0.0,2.50230865100664,2,1,1,1,111
12354.0,231.99999999999997,1.0,168.60103589065577,5.44673737166631,0.0,5.127535189621572,2,1,1,4,114
12355.0,213.99999999999994,1.0,44.23313080620427,5.365976015021851,0.0,3.7894740740507746,2,1,1,2,112
12356.0,23.0,3.0000000000000004,203.64227417262435,3.1354942159291497,1.0986122886681098,5.316364896584351,1,4,3,4,434
12357.0,33.0,1.0,467.46051020997623,3.4965075614664802,0.0,6.14731487502185,1,4,1,5,415
12358.0,2.0,2.0,61.581937458846824,0.6931471805599453,0.6931471805599453,4.1203686044705155,1,5,2,2,522
12359.0,57.999999999999986,4.0,749.7716196044063,4.060443010546419,1.3862943611198906,6.619768652964502,1,3,4,5,345
12360.0,52.00000000000001,3.0000000000000004,353.1495047748874,3.9512437185814275,1.0986122886681098,5.866891493545828,1,3,3,5,335
12361.0,287.00000000000006,1.0,27.06235207411423,5.659482215759621,0.0,3.2981435396642307,2,1,1,1,111
12362.0,3.0000000000000004,10.000000000000002,743.2122438777202,1.0986122886681098,2.302585092994046,6.610981661903376,0,5,5,5,555
